frame,t_sec,danger_raw,danger_smoothed,attacking_team,n_attackers,n_defenders,count_anomaly,ball_dist_to_goal_m,closing_speed_kmh,ball_speed_kmh,hull_area_m2,score_ball_proximity,score_space_control,score_compactness,score_numerical_advantage,score_ball_velocity
39000,0.0,47.60455920470972,50.54359051680814,2,9,9,False,12.610853279779542,0.0,20.64937478253139,569.9777668968745,88.57376895895221,18.73015873015873,18.999258896562484,40.0,50.0
39001,0.04,47.718303290734426,50.576558416788494,2,9,9,False,12.387635043925693,20.089641226846453,20.64937478253139,575.3393917590365,88.77601880508522,17.3015873015873,19.177979725301217,30.0,62.55602576677903
39002,0.08,49.257279065646934,50.44528309169294,2,9,9,False,12.164648233691773,20.068812921052768,20.649374782531233,587.2756837555335,88.97805896496276,16.984126984126984,19.575856125184448,40.0,62.54300807565798
39003,0.12,52.53460094399629,50.3719195272979,2,10,9,False,11.941905813060982,20.046817856771177,20.64937478253139,580.2496924410516,89.17987769239578,30.0,19.34165641470172,40.0,62.52926116048199
39004,0.16,54.10756811737013,50.31454872446098,2,10,8,False,11.719421716841405,20.023568659762,20.64937478253139,591.1204773460122,89.3814623615664,29.841269841269842,19.70401591153374,50.0,62.51473041235125
39005,0.2,52.03923247839132,50.38993302488637,2,10,8,False,11.497210941655508,19.998969766730674,20.649374782531233,600.754992334063,89.58279938458573,27.142857142857142,20.025166411135434,40.0,62.49935610420667
39006,0.24,50.77436581667063,50.4048678668566,2,10,9,False,11.275289647156177,19.972916504939846,20.64937478253139,612.3961507269778,89.78387411978575,27.61904761904762,20.413205024232592,30.0,62.483072815587406
39007,0.28,49.52635581602412,50.472239027208,2,10,9,False,11.209689287097033,5.904032405322894,8.717153561140302,615.0829348988409,89.84331219695484,27.77777777777778,20.502764496628032,30.0,53.69002025332681
39008,0.32,49.78501101213754,51.388826781427234,2,10,9,False,11.144544578293536,5.863023792314799,8.717153561140478,616.4223242984081,89.90233742525434,28.730158730158728,20.547410809946935,30.0,53.66438987019675
39009,0.36,49.7982114989286,51.517863141301056,2,10,9,False,11.079863557833587,5.821291841395375,8.717153561140302,608.3920819606701,89.96094252257404,28.888888888888886,20.27973606535567,30.0,53.63830740087211
39010,0.4,51.143776029140334,51.01870220448567,2,10,8,False,11.015654393687592,5.778824773139508,8.717153561140302,622.4296392133474,90.01912008821596,27.936507936507937,20.747654640444914,40.0,53.611765483212196
39011,0.44,50.569151128529164,49.88104118014061,2,10,8,False,10.951925385084207,5.735610774304654,8.717153561140478,631.8344976931276,90.07686260255372,25.396825396825395,21.061149923104253,40.0,53.58475673394041
39012,0.48,48.41301312892658,48.66688985237949,2,10,9,False,10.888684962751839,5.691638009913174,8.717153561140302,640.8505405064789,90.13416242681397,22.53968253968254,21.361684683549296,30.0,53.557273756195734
39013,0.52,58.717356341365175,47.09603117717068,2,10,8,False,10.09301847068225,71.60998428626304,71.62953942171096,551.0661675598421,90.85508661555103,33.96825396825397,18.368872251994738,40.0,94.75624017891441
39014,0.56,50.805715384132725,45.36041067369109,2,10,8,False,10.213135607281254,-10.810542293910412,13.204863516289162,552.3989048180556,90.74625288921072,33.33333333333333,18.413296827268518,40.0,43.243411066305995
39015,0.6,46.54466970221177,43.46256026954624,2,10,8,False,10.748155898788866,-48.15182623568509,83.97711180923307,572.2817194955496,90.26149065093959,30.476190476190478,19.076057316518323,40.0,19.905108602696817
39016,0.64,40.45563582522942,41.426109892360095,2,9,7,False,14.646282544923395,-350.83139815210757,568.1643865093134,444.4975471846665,86.72954125006792,12.857142857142856,14.81658490615555,60.0,0.0
39017,0.68,37.469416545257886,39.68171311552968,2,9,7,False,19.8295409057755,-466.4932524766894,568.164386509314,452.8448181757831,82.03318119713626,12.380952380952381,15.094827272526102,50.0,0.0
39018,0.72,31.92406171416482,37.98921827297099,2,9,9,False,25.526734136370795,-512.7473907535767,568.1643865093137,555.0822074369316,76.87116363226193,6.349206349206349,18.502740247897723,30.0,0.0
39019,0.76,28.69890977426912,36.60230919105937,2,7,9,False,31.45987892206724,-533.98303071268,568.164386509314,548.4731115686573,71.49535902829774,6.031746031746032,18.282437052288575,20.0,0.0
