frame,t_sec,danger_raw,danger_smoothed,category,shot_score,shot_signal_kmh,set_piece_confidence,attacking_team,n_attackers,n_defenders,count_anomaly,ball_dist_to_goal_m,closing_speed_kmh,ball_speed_kmh,hull_area_m2,score_ball_proximity,score_space_control,score_compactness,score_numerical_advantage,score_ball_velocity
39051,2.04,34.98511305498154,34.94223103726472,UNCERTAIN,,-23.873987380019784,,2,8,9,False,50.24713151478625,-23.874422280774397,23.95451854053551,1101.6896907978808,54.47291938932955,13.492063492063492,36.72298969326269,30.0,35.078486074516
39052,2.08,35.629637702187885,35.411053594422434,UNCERTAIN,,-23.874836946480485,,2,8,9,False,50.512412236566924,-23.875264960260907,23.95451854053551,1102.1749448191367,54.23255826938358,16.349206349206348,36.73916482730456,30.0,35.077959399836935
39053,2.12,35.26543801699642,35.62007956231631,UNCERTAIN,,-23.875673161164706,,2,8,9,False,50.77770217470445,-23.8760944323775,23.954518540535393,1131.0743159175236,53.99218879883514,14.603174603174605,37.702477197250786,30.0,35.07744097976406
39054,2.16,37.33354826815098,36.008440837068285,UNCERTAIN,,-23.876496301951754,,2,9,9,False,51.043001185496074,-23.87691097124602,23.95451854053551,1114.6898932646045,53.751811107888,23.49206349206349,37.15632977548682,30.0,35.076930642971234
39055,2.2,35.12674196416511,36.404130439870535,UNCERTAIN,,-23.877306639541267,,2,8,9,False,51.308309128206325,-23.877714843922604,23.954518540535005,1124.2747886178886,53.51142532405741,14.761904761904763,37.475826287262954,30.0,35.07642822254837
39056,2.24,37.37652659997042,36.64164323178552,UNCERTAIN,,-23.87810443767362,,2,8,9,False,51.57362586499098,-23.878506310618945,23.9545185405359,1461.6860539044865,53.27103157223896,17.3015873015873,48.72286846348288,30.0,35.07593355586316
39057,2.28,38.176520372362525,37.10967017195774,UNCERTAIN,,-23.87888995334341,,2,8,9,False,51.83895126082328,-23.879285624906927,23.954518540535005,1493.266373516477,53.03062997477542,20.158730158730158,49.77554578388256,30.0,35.07544648443317
39058,2.32,35.846743129134936,37.990448157226346,UNCERTAIN,,-23.87966343700485,,2,8,9,False,52.10428518342245,-23.88005303392518,23.95451854053551,1460.7974922329013,52.79022065152156,17.77777777777778,48.693249741096714,20.0,35.07496685379677
39059,2.36,38.56088651250507,38.53681742002322,UNCERTAIN,,-23.880425132770192,,2,8,9,False,52.36962750318432,-23.880808778568365,23.954518540535393,1511.7161486666591,52.54980371990694,21.904761904761905,50.39053828888864,30.0,35.07449451339477
39060,2.4,38.811069201448184,38.94568717265323,NONE,,-25.40477499222,,2,8,9,False,52.6349780931141,-23.88155309368031,23.95451854053551,1528.5730602391868,52.30937929499688,22.857142857142858,50.95243534130623,30.0,35.07402931644981
39061,2.44,37.77981315005273,38.29987240247382,NONE,,-19.740321785753864,,2,8,9,False,52.96805237158861,-29.97668506270614,46.66148144006725,1534.0778360670329,52.00759292295318,21.26984126984127,51.1359278689011,30.0,31.264571835808663
39062,2.48,40.424004091537036,38.706664275152995,NONE,,-2.8843428796742803,,2,8,9,False,52.98163281834484,-1.2222402080606543,45.46995147795472,1508.6354521112607,51.995288178870084,21.58730158730159,50.28784840370869,30.0,49.23609986996209
39063,2.52,45.55444887820483,38.96427442370172,NONE,,4.510612301913143,,2,9,9,False,52.49782052005873,43.543106845749975,53.456060540469664,1565.8976756420097,52.433652735024374,23.65079365079365,52.19658918806699,30.0,77.21444177859374
39064,2.56,42.18606885575036,38.86367018591033,NONE,,8.570304402688686,,2,9,9,False,52.43450643525129,5.698267632669385,5.720825165424329,1574.5608885594265,52.491019302148125,24.126984126984127,52.48536295198088,30.0,53.56141727041837
39065,2.6,40.17187504855652,39.17911274571704,NONE,,8.397002001608495,,2,9,9,False,52.58714995369134,-13.737916659603968,18.952245597719113,1584.1314034697898,52.35271461570704,23.333333333333332,52.804380115659654,30.0,41.41380208774752
39066,2.64,29.583771025998118,39.30538355569184,NONE,,-0.012020451118715414,,2,9,10,False,54.53927685797597,-175.69142138561696,181.6688527890177,1653.1449296180454,50.58396411683583,18.571428571428573,55.10483098726818,10.0,0.0
39067,2.68,40.00824443631524,39.43850051914509,NONE,,1.9191969843161623,,2,9,9,False,54.42919889092218,9.907017034841132,10.343830185926981,1666.9337067037359,50.683701720325544,20.158730158730158,55.564456890124525,20.0,56.19188564677571
39068,2.72,40.467848382555076,39.588198768772465,NONE,,-0.1407669711790831,,2,9,9,False,54.280052920095414,13.423137374408896,15.017308933069687,1668.9460824923217,50.81883740731672,20.476190476190474,55.63153608307739,20.0,58.38946085900556
39069,2.76,36.969269518865836,39.521671720123216,NONE,,1.8933834508947296,,2,9,9,False,54.524250392113025,-21.97777248158495,28.499689698729693,1685.955410932189,50.59757904572854,19.682539682539684,56.19851369773963,20.0,36.263892199009405
39070,2.8,39.632053846815445,39.03416151141031,NONE,,1.7940837424207619,,2,9,9,False,54.45512648238065,6.221151875913833,6.947513391916434,1686.02460665117,50.66020968185917,19.682539682539684,56.20082022170566,20.0,53.88821992244615
39071,2.84,40.076136232202686,39.05661514717618,NONE,,1.3734747782752184,,2,9,9,False,54.34946183570348,9.509818200945261,13.156789225978986,1699.4977508396078,50.755948537828566,19.841269841269842,56.649925027986924,20.0,55.943636375590785
39072,2.88,40.40847276288716,39.312429594624774,NONE,,7.619257810750783,,2,9,9,False,54.219009596616516,11.740701517826722,13.012861326871423,1701.1710999222014,50.87414652099118,20.158730158730158,56.70570333074004,20.0,57.3379384486417
39073,2.92,39.57619214558129,40.53198665365857,NONE,,6.800793876305599,,2,9,9,False,54.18561671163521,3.0053596483173095,17.08853446824201,1712.5602883808406,50.90440258776625,19.841269841269842,57.085342946028014,20.0,51.87834978019832
