frame,t_sec,danger_raw,danger_smoothed,category,shot_score,shot_signal_kmh,set_piece_confidence,attacking_team,n_attackers,n_defenders,count_anomaly,ball_dist_to_goal_m,closing_speed_kmh,ball_speed_kmh,hull_area_m2,score_ball_proximity,score_space_control,score_compactness,score_numerical_advantage,score_ball_velocity
12,0.48,46.70450271923809,43.22292248514895,SET_PIECE,,0.0,100.0,1,10,8,False,23.409393906343343,0.0,0.0,205.5875644093394,78.78960785836284,40.15873015873016,6.852918813644647,30.0,50.0
13,0.52,46.7354786721913,43.55775678983279,SET_PIECE,,0.0,100.0,1,9,8,False,23.409393906343343,0.0,0.0,203.84624706347313,78.78960785836284,40.317460317460316,6.794874902115771,30.0,50.0
14,0.56,46.80455180771867,44.36472636278768,NONE,,0.0,,1,9,8,False,23.409393906343343,0.0,0.0,201.78785829593107,78.78960785836284,40.63492063492063,6.726261943197702,30.0,50.0
15,0.6,46.87177711872297,45.184430687198976,NONE,,0.0,,1,9,8,False,23.409393906343343,0.0,0.0,199.35990462377595,78.78960785836284,40.95238095238095,6.645330154125865,30.0,50.0
16,0.64,47.24522760153496,45.67041466996752,NONE,,0.0,,1,9,8,False,23.409393906343343,0.0,0.0,210.55793769410957,78.78960785836284,42.22222222222222,7.018597923136985,30.0,50.0
17,0.68,46.91654765491156,46.07163742634015,NONE,,0.0,,1,9,8,False,23.409393906343343,0.0,0.0,216.25051979800264,78.78960785836284,40.79365079365079,7.208350659933421,30.0,50.0
18,0.72,47.48319398433155,46.47185901965887,NONE,,0.0,,1,9,8,False,23.409393906343343,0.0,0.0,210.5321666343807,78.78960785836284,43.17460317460318,7.01773888781269,30.0,50.0
19,0.76,47.90237952157697,46.2930385324564,NONE,,0.0,,1,9,8,False,23.409393906343343,0.0,0.0,207.06768678187655,78.78960785836284,44.920634920634924,6.902256226062551,30.0,50.0
20,0.8,48.08820574477132,46.098181889347956,NONE,,0.0,,1,9,8,False,23.409393906343343,0.0,0.0,204.55039173820842,78.78960785836284,45.714285714285715,6.8183463912736135,30.0,50.0
21,0.84,44.0744584038539,46.93073884028837,NONE,,0.0,,1,9,9,False,23.409393906343343,0.0,0.0,362.1183838721845,78.78960785836284,26.50793650793651,12.070612795739482,30.0,50.0
22,0.88,44.425328515717645,47.76079694785676,NONE,,0.0,,1,9,9,False,23.409393906343343,0.0,0.0,360.8638348163622,78.78960785836284,27.936507936507937,12.02879449387874,30.0,50.0
23,0.92,44.410656491337505,47.850425348761185,NONE,,0.0,,1,9,9,False,23.409393906343343,0.0,0.0,357.92942994033365,78.78960785836284,27.936507936507937,11.930980998011123,30.0,50.0
24,0.96,44.5586568728085,47.88097718665517,NONE,,0.0,,1,9,9,False,23.409393906343343,0.0,0.0,355.78347448850036,78.78960785836284,28.57142857142857,11.859449149616678,30.0,50.0
25,1.0,44.39719895488997,47.79001396940773,NONE,,0.0,,1,9,9,False,23.409393906343343,0.0,0.0,355.2379226508274,78.78960785836284,27.936507936507937,11.841264088360912,30.0,50.0
26,1.04,56.79523521900357,47.58875376855283,NONE,,0.0,,1,10,10,False,23.409393906343343,0.0,0.0,187.2261278545002,78.78960785836284,68.88888888888889,6.24087092848334,50.0,50.0
27,1.08,56.832474409543764,47.29943430045566,NONE,,-0.05374879772459779,,1,10,10,False,23.409393906343343,0.0,0.0,186.73745802602934,78.78960785836284,69.04761904761905,6.2245819342009785,50.0,50.0
28,1.12,48.32076841238796,47.258275746547746,NONE,,-0.16124639317379338,,1,10,10,False,26.69744197681387,-295.92432634234746,327.19336703571673,186.9565588685432,75.81042825062701,68.57142857142857,6.231885295618107,50.0,0.0
29,1.16,47.28316970963947,47.12068039925689,NONE,,-0.3224927863475867,,1,10,10,False,30.065604098342348,-303.134590937563,327.193367035717,186.35242256781794,72.75866024330287,68.0952380952381,6.211747418927264,50.0,0.0
30,1.2,46.39163537736211,46.90693530679632,NONE,,-0.537487977245978,,1,10,10,False,33.489717050776875,-308.17016571910744,327.19336703571673,186.2568282054135,69.65619724280991,68.25396825396825,6.20856094018045,50.0,0.0
31,1.24,45.48725711131815,45.37398888932294,NONE,,-0.7524831681443691,,1,10,10,False,36.954231193922155,-311.8062728830752,327.193367035717,185.78880920327492,66.51712820709056,68.41269841269842,6.192960306775831,50.0,0.0
