frame,t_sec,danger_raw,danger_smoothed,attacking_team,n_attackers,n_defenders,count_anomaly,ball_dist_to_goal_m,closing_speed_kmh,hull_area_m2,score_ball_proximity,score_space_control,score_compactness,score_numerical_advantage,score_ball_velocity
0,0.0,46.02690351615465,43.918602693781054,2,9,8,False,62.34128161445261,0.0,1642.108503374673,43.51485412458841,39.04761904761905,54.736950112489104,50.0,50.0
1,0.041666666666666664,46.02690351615465,43.70570985948531,2,9,8,False,62.34128161445261,0.0,1642.108503374673,43.51485412458841,39.04761904761905,54.736950112489104,50.0,50.0
2,0.08333333333333333,43.74591254086875,43.4524973464946,2,9,9,False,61.86400925040691,41.236332253548746,1282.0208360870156,43.94729308649731,27.142857142857142,42.734027869567186,40.0,75.77270765846797
3,0.125,42.15107878179285,43.29664553003189,2,10,9,False,61.552829785974275,26.88590572697956,1270.763240094776,44.22924137159375,26.031746031746035,42.35877466982586,40.0,66.80369107936222
4,0.16666666666666666,45.15888056396039,43.14276008190696,2,10,9,False,60.8846595683248,57.72990680491466,1265.6108144571817,44.834645868199196,25.873015873015877,42.187027148572724,40.0,86.08119175307166
5,0.20833333333333334,40.401937243755036,42.39136478258419,2,9,10,False,60.79351116149017,7.875222350511763,1275.78834223401,44.91723209233566,25.238095238095237,42.52627807446701,40.0,54.92201396906985
6,0.25,42.428352853710855,41.62570078325723,2,9,9,False,60.72341700444812,6.0561351684330935,1276.448129473296,44.98074183392262,27.936507936507937,42.5482709824432,50.0,53.78508448027068
7,0.2916666666666667,41.68000975555967,41.12362908723878,2,9,9,False,60.776098494435125,-4.5516807348769595,1058.698753994291,44.933009070498656,33.33333333333333,35.28995846647637,50.0,47.1551995407019
8,0.3333333333333333,42.049830998330116,40.597086078998466,2,10,9,False,60.86573445737987,-7.744547198426176,1102.1641047580451,44.85179321622845,35.23809523809524,36.73880349193484,50.0,45.15965800098364
9,0.375,41.757791048782664,40.53078437947645,2,9,9,False,60.99216196519928,-10.923336675596806,1094.3584809903077,44.7372418942648,35.55555555555556,36.478616033010255,50.0,43.172914577751996
10,0.4166666666666667,34.87741178935652,40.36004661210972,2,9,9,False,62.893042553110824,-164.23608279555742,1077.1266123683436,43.014923800710726,36.34920634920635,35.90422041227812,50.0,0.0
11,0.4583333333333333,33.20339679066061,39.89907455429711,2,9,10,False,64.85595568341196,-169.59569445801841,1450.6223243458144,41.23640029855486,30.317460317460316,48.354077478193815,40.0,0.0
12,0.5,40.00204316393329,40.301367693384385,2,8,9,False,64.94007766189988,-7.268138941355801,1395.6468387220439,41.16018046310772,31.428571428571427,46.521561290734795,40.0,45.457413161652624
13,0.5416666666666666,39.708387417270785,40.74067464620462,2,8,9,False,65.07393459924742,-11.565239386827898,1393.0172623095414,41.03889760788392,32.06349206349206,46.43390874365138,40.0,42.771725383232564
14,0.5833333333333334,42.950292146604646,41.03491249182672,2,9,8,False,65.25722044409588,-15.83589699490658,1275.88159715845,40.8728290347803,43.17460317460318,42.52938657194833,50.0,40.102564378183395
15,0.625,40.10222557339213,41.406137632185676,2,9,10,False,65.48952018697477,-20.07069778473642,1582.426477420816,40.66235076863741,33.49206349206349,52.747549247360524,40.0,37.45581388453974
16,0.6666666666666666,39.62721587020901,41.79757130144149,2,10,10,False,65.7703144809243,-24.26062699723907,1573.314245460555,40.40793337066327,33.65079365079365,52.4438081820185,40.0,34.83710812672558
17,0.7083333333333334,45.229454912802396,43.2051613386011,2,10,10,False,65.39489483736914,32.436257203166,1570.6036984029215,40.74808732293288,34.44444444444444,52.353456613430716,40.0,70.27266075197875
18,0.75,47.700036287553594,45.14846400528944,2,10,8,False,65.019673691379,32.419107013548,1538.2938870043636,41.08806142384835,38.57142857142858,51.27646290014545,50.0,70.2619418834675
19,0.7916666666666666,45.210863903024844,46.53798459608523,2,10,10,False,64.64465449941073,32.401658186057965,1542.6213307687103,41.42785254164109,34.12698412698413,51.420711025623675,40.0,70.25103636628623
20,0.8333333333333334,46.50453268263765,48.14210682685626,2,10,10,False,64.26984079671364,32.383903913029144,1574.9624770707305,41.76745747315152,38.25396825396825,52.49874923569102,40.0,70.23993994564321
21,0.875,46.45499507985232,49.56236906243581,2,10,10,False,63.89523619952897,32.36583719675498,1560.9017951957376,42.10687294183624,37.93650793650794,52.03005983985792,40.0,70.22864824797186
22,0.9166666666666666,51.76849223527195,48.513353377143375,2,9,9,False,63.14040067977685,65.21778890658321,1269.7660102441905,42.79080168601618,45.87301587301587,42.32553367480635,50.0,90.76111806661451
23,0.9583333333333334,56.52302879092065,48.16377050406351,2,9,9,False,62.18142018912602,82.85591439223177,1502.4841541609298,43.65969869139196,53.65079365079365,50.08280513869766,50.0,100.0
24,1.0,56.676290253482854,48.34634070423365,2,10,9,False,61.279653327950314,77.91265680558125,1515.3141534243323,44.476756528189995,53.80952380952381,50.51047178081107,50.0,98.69541050348829
25,1.0416666666666667,58.95785418652311,48.66829465791394,2,10,8,False,60.43766113752363,72.74812525286578,1492.5292843207098,45.23965473096263,58.41269841269842,49.75097614402366,60.0,95.4675782830411
26,1.0833333333333333,59.99343897355923,49.21117878949854,2,9,6,False,59.6579745891338,67.36491778088096,710.5756132920224,45.946100079572304,79.36507936507937,23.685853776400744,60.0,92.10307361305058
27,1.125,27.514037349882905,49.72649977766846,1,6,7,False,50.06374727930166,-137.96987152999586,113.35173223095262,54.63907711057529,12.222222222222221,3.7783910743650875,50.0,0.0
28,1.1666666666666667,35.432221393250565,48.74790714863631,1,7,8,False,50.333608592518544,-23.31601746193894,426.6123316314515,54.39456568494474,16.666666666666664,14.220411054381717,50.0,35.42748908628816
29,1.2083333333333333,47.42029731484408,47.32042304500749,2,9,10,False,57.99637582013922,40.84397294409141,1717.169894041313,47.45161370429227,35.079365079365076,57.238996468043766,30.0,75.52748309005712
30,1.25,51.56348373171717,46.58361114109923,2,9,10,False,57.52490300407591,40.735251307870115,1722.2146558273425,47.878797908754535,45.07936507936508,57.40715519424475,40.0,75.45953206741882
31,1.2916666666666667,51.72547348203997,45.80379901172157,2,9,10,False,57.05471973554957,40.62383440067588,1739.077233270555,48.304813701550344,44.920634920634924,57.9692411090185,40.0,75.38989650042242
32,1.3333333333333333,52.68838454067666,44.85090377773276,2,10,10,False,56.58585815989832,40.50964013626767,1727.359111178026,48.729631956969335,42.53968253968254,57.578637039267534,50.0,75.3185250851673
33,1.375,34.71188353146655,44.51947611516809,1,10,9,False,51.74760653580081,-25.158806263061933,1027.3006791889784,53.113394075612376,10.0,34.243355972965944,40.0,34.27574608558629
