frame,t_sec,danger_raw,danger_smoothed,attacking_team,n_attackers,n_defenders,count_anomaly,ball_dist_to_goal_m,closing_speed_kmh,hull_area_m2,score_ball_proximity,score_space_control,score_compactness,score_numerical_advantage,score_ball_velocity
0,0.0,45.59862404262753,45.45845713532386,1,9,9,False,23.409393906343343,0.0,317.7451624205605,78.78960785836284,33.49206349206349,10.591505414018684,30.0,50.0
1,0.041666666666666664,45.54711181784153,45.17370359143837,1,9,9,False,23.409393906343343,0.0,315.37922539986903,78.78960785836284,33.33333333333333,10.5126408466623,30.0,50.0
2,0.08333333333333333,45.53092758039588,44.30433372327337,1,9,9,False,23.409393906343343,0.0,312.142377910739,78.78960785836284,33.33333333333333,10.404745930357967,30.0,50.0
3,0.125,45.486273601342106,43.6318248486692,1,9,9,False,23.409393906343343,0.0,311.14809003649134,78.78960785836284,33.17460317460317,10.371603001216378,30.0,50.0
4,0.16666666666666666,45.356904398487195,43.0929074248654,1,9,9,False,23.409393906343343,0.0,309.0837732750333,78.78960785836284,32.698412698412696,10.30279244250111,30.0,50.0
5,0.20833333333333334,45.23090137124893,42.776339062536366,1,9,9,False,23.409393906343343,0.0,307.6926916369048,78.78960785836284,32.22222222222222,10.256423054563493,30.0,50.0
6,0.25,43.46518232812539,42.512310588284414,1,9,9,False,23.409393906343343,0.0,375.1838036471163,78.78960785836284,23.809523809523807,12.506126788237209,30.0,50.0
7,0.2916666666666667,38.218744646118395,42.60446714466863,1,8,9,False,23.409393906343343,0.0,373.51531486476597,78.78960785836284,2.857142857142857,12.4505104954922,30.0,50.0
8,0.3333333333333333,38.251753851835765,42.703497715864444,1,8,9,False,23.409393906343343,0.0,372.1806480717314,78.78960785836284,3.015873015873016,12.406021602391046,30.0,50.0
9,0.375,38.24265061063134,42.809633068141345,1,9,9,False,23.409393906343343,0.0,370.3599998308455,78.78960785836284,3.015873015873016,12.34533332769485,30.0,50.0
10,0.4166666666666667,39.61065543924597,42.92509169458975,1,9,8,False,23.409393906343343,0.0,207.45302904583514,78.78960785836284,11.746031746031745,6.915100968194504,30.0,50.0
11,0.4583333333333333,39.60799737151297,43.0824519615104,1,9,8,False,23.409393906343343,0.0,206.9214154992369,78.78960785836284,11.746031746031745,6.89738051664123,30.0,50.0
12,0.5,46.70450271923809,43.22292248514895,1,10,8,False,23.409393906343343,0.0,205.5875644093394,78.78960785836284,40.15873015873016,6.852918813644647,30.0,50.0
13,0.5416666666666666,46.7354786721913,43.55775678983279,1,9,8,False,23.409393906343343,0.0,203.84624706347313,78.78960785836284,40.317460317460316,6.794874902115771,30.0,50.0
14,0.5833333333333334,46.80455180771867,44.36472636278768,1,9,8,False,23.409393906343343,0.0,201.78785829593107,78.78960785836284,40.63492063492063,6.726261943197702,30.0,50.0
15,0.625,46.87177711872297,45.184430687198976,1,9,8,False,23.409393906343343,0.0,199.35990462377595,78.78960785836284,40.95238095238095,6.645330154125865,30.0,50.0
16,0.6666666666666666,47.24522760153496,45.67041466996752,1,9,8,False,23.409393906343343,0.0,210.55793769410957,78.78960785836284,42.22222222222222,7.018597923136985,30.0,50.0
17,0.7083333333333334,46.91654765491156,46.07163742634015,1,9,8,False,23.409393906343343,0.0,216.25051979800264,78.78960785836284,40.79365079365079,7.208350659933421,30.0,50.0
18,0.75,47.48319398433155,46.47185901965887,1,9,8,False,23.409393906343343,0.0,210.5321666343807,78.78960785836284,43.17460317460318,7.01773888781269,30.0,50.0
19,0.7916666666666666,47.90237952157697,46.2930385324564,1,9,8,False,23.409393906343343,0.0,207.06768678187655,78.78960785836284,44.920634920634924,6.902256226062551,30.0,50.0
20,0.8333333333333334,48.08820574477132,46.098181889347956,1,9,8,False,23.409393906343343,0.0,204.55039173820842,78.78960785836284,45.714285714285715,6.8183463912736135,30.0,50.0
21,0.875,44.0744584038539,46.93073884028837,1,9,9,False,23.409393906343343,0.0,362.1183838721845,78.78960785836284,26.50793650793651,12.070612795739482,30.0,50.0
22,0.9166666666666666,44.425328515717645,47.76079694785676,1,9,9,False,23.409393906343343,0.0,360.8638348163622,78.78960785836284,27.936507936507937,12.02879449387874,30.0,50.0
23,0.9583333333333334,44.410656491337505,47.850425348761185,1,9,9,False,23.409393906343343,0.0,357.92942994033365,78.78960785836284,27.936507936507937,11.930980998011123,30.0,50.0
24,1.0,44.5586568728085,47.88097718665517,1,9,9,False,23.409393906343343,0.0,355.78347448850036,78.78960785836284,28.57142857142857,11.859449149616678,30.0,50.0
25,1.0416666666666667,44.39719895488997,47.79001396940773,1,9,9,False,23.409393906343343,0.0,355.2379226508274,78.78960785836284,27.936507936507937,11.841264088360912,30.0,50.0
26,1.0833333333333333,56.79523521900357,47.58875376855283,1,10,10,False,23.409393906343343,0.0,187.2261278545002,78.78960785836284,68.88888888888889,6.24087092848334,50.0,50.0
27,1.125,56.832474409543764,47.29943430045566,1,10,10,False,23.409393906343343,0.0,186.73745802602934,78.78960785836284,69.04761904761905,6.2245819342009785,50.0,50.0
28,1.1666666666666667,48.32076841238796,47.258275746547746,1,10,10,False,26.69744197681387,-284.08735328865356,186.9565588685432,75.81042825062701,68.57142857142857,6.231885295618107,50.0,0.0
29,1.2083333333333333,47.28316970963947,47.12068039925689,1,10,10,False,30.065604098342348,-291.0092073000605,186.35242256781794,72.75866024330287,68.0952380952381,6.211747418927264,50.0,0.0
30,1.25,46.39163537736211,46.90693530679632,1,10,10,False,33.489717050776875,-295.84335909034314,186.2568282054135,69.65619724280991,68.25396825396825,6.20856094018045,50.0,0.0
31,1.2916666666666667,45.48725711131815,45.37398888932294,1,10,10,False,36.954231193922155,-299.3340219677522,185.78880920327492,66.51712820709056,68.41269841269842,6.192960306775831,50.0,0.0
32,1.3333333333333333,44.616372127605366,43.763560417393585,1,10,10,False,40.44876654209027,-301.92785408172506,185.71500541395562,63.35085805998636,68.73015873015873,6.190500180465188,50.0,0.0
33,1.375,43.58055575695894,41.03829061875271,1,10,10,False,43.96616520768114,-303.903244707051,185.64389272156268,60.163872300588395,68.41269841269842,6.188129757385423,50.0,0.0
34,1.4166666666666667,42.774184348227394,38.219309976589265,1,10,10,False,47.50134848624426,-305.439835267854,184.8095638750633,56.96077255649106,69.04761904761905,6.160318795835443,50.0,0.0
35,1.4583333333333333,41.845715381810635,36.69645821608216,1,10,10,False,51.050621833666696,-306.6572172172984,184.1312369383786,53.74490631843813,69.2063492063492,6.137707897945954,50.0,0.0
36,1.5,26.1632998631279,35.25299464172679,1,10,9,False,54.61123810944403,-307.6372462271617,285.6611965792126,50.51876266955586,20.317460317460316,9.522039885973754,30.0,0.0
37,1.5416666666666667,25.072057291737703,33.811099122292006,1,9,9,False,58.18111482894304,-308.4373485647142,285.29425792240363,47.28422847269409,19.841269841269842,9.509808597413455,30.0,0.0
38,1.5833333333333333,24.091997635313106,31.85955375559774,1,9,9,False,61.75864614999942,-309.09870613927154,283.7705116511934,44.0427587224656,19.841269841269842,9.45901705503978,30.0,0.0
39,1.625,23.00470670358251,29.94160976808278,1,9,9,False,65.3425748074939,-309.6514360075233,284.9578176251125,40.79549258062368,19.365079365079367,9.498593920837084,30.0,0.0
40,1.6666666666666667,30.0465472863027,28.030983595206305,1,9,9,False,65.37362966840145,-2.6831399824119218,285.0056086632612,40.76735491160123,18.571428571428573,9.500186955442041,30.0,48.32303751099255
41,1.7083333333333333,29.96160681737492,26.138884884525456,1,9,9,False,65.40464517883161,-2.679740101166317,285.5129038773666,40.73925289660123,18.253968253968253,9.51709679591222,30.0,48.32516243677105
42,1.75,29.08888914414477,24.769479219624163,1,10,9,False,65.52001544888718,-9.96799133280074,285.64207746374814,40.634720131713976,17.61904761904762,9.521402582124939,30.0,43.77000541699954
43,1.7916666666666667,22.068712710986947,24.531069083541336,1,10,9,False,67.01627882979592,-129.27715611051545,283.98601935570696,39.27901083043016,17.46031746031746,9.46620064519023,30.0,0.0
44,1.8333333333333333,21.601044277425842,24.43620050456467,1,10,9,False,68.7199380376605,-147.19615555949932,283.0697152696812,37.73538778666025,17.46031746031746,9.43565717565604,30.0,0.0
45,1.875,20.65304168244119,24.2005509028173,1,10,9,False,70.59104302912829,-161.66347126281696,282.49115471932237,36.04004826757718,15.714285714285714,9.416371823977412,30.0,0.0
46,1.9166666666666667,20.068999820057265,24.03465880376261,1,10,9,False,72.8544740322614,-195.56043867070045,328.4140245631661,33.989236556942345,14.920634920634921,10.947134152105537,30.0,0.0
47,1.9583333333333333,25.412847402995098,23.33120466426963,1,10,9,False,73.07846906705699,-19.3531710063392,327.7882735827843,33.786282881815076,13.80952380952381,10.92627578609281,30.0,37.904268121038
48,2.0,23.302378230133954,22.60438118579486,1,10,9,False,73.48507645488853,-35.130878308645244,326.8057754253532,33.417870859782475,11.746031746031745,10.893525847511773,30.0,28.043201057096724
49,2.0416666666666665,23.93363434401774,22.05940276600003,1,9,9,False,73.60928836134097,-10.731908717491207,327.72577458059095,33.305327012852594,5.238095238095238,10.924192486019699,30.0,43.29255705156799
50,2.0833333333333335,21.264202414344677,22.17867203250742,1,9,9,False,74.03830888947462,-37.06737363074722,326.8255563647108,32.916607267483144,4.920634920634921,10.894185212157026,30.0,26.83289148078299
51,2.125,21.014001514926225,21.665067937166743,1,9,9,False,74.46855366221934,-37.173148365143334,325.9679158676445,32.52677827903027,4.444444444444445,10.86559719558815,30.0,26.766782271785416
52,2.1666666666666665,21.605097612386892,21.767007600428602,1,9,8,False,74.80929813519145,-29.440322464791098,325.65732088073673,32.218042225429336,4.285714285714286,10.855244029357891,30.0,31.599798459505568
53,2.2083333333333335,21.239725075677732,21.966005530523233,1,9,8,False,75.18227948997779,-32.225589053539174,325.083244579464,31.88009751707046,4.285714285714286,10.8361081526488,30.0,29.859006841538015
54,2.25,22.54914810660679,21.713542539550826,1,10,8,False,75.55213168144525,-31.955229342788424,324.2273977143068,31.54498802868071,9.841269841269842,10.807579923810225,30.0,30.02798166075723
